allergen_id,canonical_name,category,synonym,ingredient_source,severity,regulation_region,source_reference,Class,Type,Group
1,milk,major_food_allergen,,,high,japan,japan_allergen_regulation,,,
2,egg,major_food_allergen,,,high,japan,japan_allergen_regulation,,,
3,peanut,major_food_allergen,,,high,japan,japan_allergen_regulation,,,
4,tree nut,non_jp_allergen,,,,global_only,,,,
5,soy,recommended_allergen,,,high,japan,japan_allergen_regulation,,,
6,wheat,major_food_allergen,,,high,japan,japan_allergen_regulation,,,
7,fish,non_jp_allergen,,,,global_only,,,,
8,shellfish,non_jp_allergen,,,,global_only,,,,
9,sesame,major_food_allergen,,,high,japan,japan_allergen_regulation,,,
10,mustard,non_jp_allergen,,,,global_only,,,,
11,celery,non_jp_allergen,,,,global_only,,,,
12,lupin,non_jp_allergen,,,,global_only,,,,
13,sulfite,non_jp_allergen,,,,global_only,,,,
17,buckwheat,major_food_allergen,buckwheat,buckwheat,high,japan,japan_allergen_regulation,,,
19,shrimp,major_food_allergen,shrimp,shrimp,high,japan,japan_allergen_regulation,,,
20,crab,major_food_allergen,crab,crab,high,japan,japan_allergen_regulation,,,
21,abalone,recommended_allergen,abalone,abalone,medium,japan,japan_allergen_regulation,,,
22,almond,recommended_allergen,almond,almond,medium,japan,japan_allergen_regulation,,,
23,squid,recommended_allergen,squid,squid,medium,japan,japan_allergen_regulation,,,
24,salmon roe,recommended_allergen,salmon roe,salmon roe,medium,japan,japan_allergen_regulation,,,
25,orange,recommended_allergen,orange,orange,medium,japan,japan_allergen_regulation,,,
26,cashew nut,recommended_allergen,cashew nut,cashew nut,medium,japan,japan_allergen_regulation,,,
27,kiwi,recommended_allergen,kiwi,kiwi,medium,japan,japan_allergen_regulation,,,
28,beef,recommended_allergen,beef,beef,medium,japan,japan_allergen_regulation,,,
29,walnut,recommended_allergen,walnut,walnut,medium,japan,japan_allergen_regulation,,,
31,salmon,recommended_allergen,salmon,salmon,medium,japan,japan_allergen_regulation,,,
32,mackerel,recommended_allergen,mackerel,mackerel,medium,japan,japan_allergen_regulation,,,
34,chicken,recommended_allergen,chicken,chicken,medium,japan,japan_allergen_regulation,,,
35,banana,recommended_allergen,banana,banana,medium,japan,japan_allergen_regulation,,,
36,pork,recommended_allergen,pork,pork,medium,japan,japan_allergen_regulation,,,
38,peach,recommended_allergen,peach,peach,medium,japan,japan_allergen_regulation,,,
39,yam,recommended_allergen,yam,yam,medium,japan,japan_allergen_regulation,,,
40,apple,recommended_allergen,apple,apple,medium,japan,japan_allergen_regulation,,,
41,gelatin,recommended_allergen,gelatin,gelatin,medium,japan,japan_allergen_regulation,,,
42,macadamia nut,recommended_allergen,macadamia nut,macadamia nut,medium,japan,japan_allergen_regulation_2024,,,
