allergen_id,token,token_type,canonical_name
1.0,coconut milk,derived,
1.0,buffalo milk,derived,
1.0,buttermilk,derived,
1.0,pasteurised goat milk,derived,
1.0,laguiole cheese from cow's milk,derived,
1.0,skimmed milk powder,derived,
1.0,sweetened condensed semi-skimmed milk,derived,
1.0,yogurt from pasteurized milk with 3 5 milk fat,derived,
1.0,blue cheese from cow's milk,derived,
1.0,milk chocolate chips,derived,
1.0,cream with 20% milk fat,derived,
1.0,natural milk flavouring,derived,
1.0,low moisture whole milk mozzarella,derived,
1.0,sweetened condensed milk,derived,
1.0,milk proteins,derived,
1.0,hydrolysed milk protein,derived,
1.0,milk protein isolate,derived,
1.0,buttermilk powder,derived,
1.0,milk flavouring,derived,
1.0,semi-skimmed milk,derived,
1.0,plain goat's milk yogurt with around 5% fat,derived,
1.0,uht pasteurised whole milk,derived,
1.0,whole milk powder,derived,
1.0,saffron milk cap,derived,
1.0,milkcap,derived,
1.0,milk enriched with cream,derived,
1.0,evaporated milk,derived,
1.0,cream with 18% milk fat,derived,
1.0,whole milk yogurt powder,derived,
1.0,milk fat without lactose,derived,
1.0,skim milk and pasteurized cream,derived,
1.0,haymilk,derived,
1.0,milk mineral concentrate,derived,
1.0,goat's milk yogurt,derived,
1.0,milk chocolate coating,derived,
1.0,milk protein concentrate,derived,
1.0,feta cheese from ewe's milk,derived,
1.0,follow-on milk,derived,
1.0,cheese made from pasteurized milk,derived,
1.0,soy milk,derived,
1.0,skimmed sheeps milk,derived,
1.0,lactose and milk proteins,derived,
1.0,milk chocolate,derived,
1.0,buffalo milk cream,derived,
1.0,cream with 36% milk fat,derived,
1.0,sheep's-milk cheese,derived,
1.0,pasteurized semi-skimmed milk,derived,
1.0,cream with 33% milk fat,derived,
1.0,soured milk,derived,
1.0,pasteurised buffalo milk,derived,
1.0,milk chocolate with sweetener,derived,
1.0,yogurt from pasteurized milk with milk fat,derived,
1.0,sweetened condensed whole milk,derived,
1.0,fermented milk products,derived,
1.0,bloody milk cap,derived,
1.0,solid yogurt made from pasteurized milk with 3.2% milk fat,derived,
1.0,whole milk mozzarella,derived,
1.0,cream with 10% milk fat,derived,
1.0,whole goat milk,derived,
1.0,milk spread,derived,
1.0,milk fat substitute,derived,
1.0,semi-skimmed goat milk,derived,
1.0,pasteurised whole milk,derived,
1.0,organic milk proteins,derived,
1.0,goat milk,derived,
1.0,milk spread with coconut flavor,derived,
1.0,milk and hazelnut coating,derived,
1.0,milk spread with hazelnuts,derived,
1.0,whole milk chocolate,derived,
1.0,condensed whole milk,derived,
1.0,whole sheep milk,derived,
1.0,milkfat,derived,
1.0,soft cheese made from pasteurized milk,derived,
1.0,skimmed goat milk,derived,
1.0,semi-skimmed pasteurized goat milk uht,derived,
1.0,semi-skimmed milk powder,derived,
1.0,camembert from pasteurised milk,derived,
1.0,milk substitute,derived,
1.0,tigernut milk,derived,
1.0,oat milk,derived,
1.0,milk minerals,derived,
1.0,milk preparation,derived,
