ingredient,allergen_id,allergen
single cream,1,milk
pasteurised whole milk,1,milk
creamy honey,1,milk
hard cheese,1,milk
semi-skimmed milk powder,1,milk
skimmed milk powder,1,milk
pure cocoa butter chocolate,1,milk
romano cheese,1,milk
milk and hazelnut coating,1,milk
ghee,1,milk
full fat soft cheese,1,milk
cow's milk,1,milk
soft cheese made from pasteurized milk,1,milk
whey product,1,milk
reconstituted butter,1,milk
whole milk chocolate,1,milk
fresh butter,1,milk
cream from normandy,1,milk
creaming powder,1,milk
sheeps milk,1,milk
cow cheese,1,milk
salted butter,1,milk
cheese powder,1,milk
cocoa powder with reduced cocoa butter content,1,milk
cocoa butter,1,milk
crottin de chavignol cheese,1,milk
whole goat milk,1,milk
cured cheese,1,milk
dill butter,1,milk
milk chocolate chips,1,milk
melted grated cheese,1,milk
second age baby milk powder,1,milk
soy milk,1,milk
flavored cake with cheese paste,1,milk
82% fat unsalted easy-to-spread butter,1,milk
skimmed sweet whey,1,milk
butter natural flavouring,1,milk
strawberry flavoured cream,1,milk
creaming agent,1,milk
lactose and milk proteins,1,milk
sheep's whey,1,milk
lancashire cheese,1,milk
medium fat hard cheese,1,milk
fresh cream cheese,1,milk
natural milk flavouring,1,milk
milkcap,1,milk
cream,1,milk
skimmed goat milk,1,milk
whole milk yogurt,1,milk
buttermilk powder,1,milk
whipping cream,1,milk
cream with 22% milk fat,1,milk
milk spread with hazelnuts,1,milk
sterilized cream,1,milk
concentrated whey,1,milk
partially demineralized powdered whey,1,milk
muenster cheese,1,milk
casein,1,milk
condensed milk,1,milk
skim milk powder,1,milk
colby cheese,1,milk
rice milk,1,milk
cheese,1,milk
sterilized uht cream,1,milk
pasteurised buffalo milk,1,milk
goat's milk yogurt,1,milk
butternut squash,1,milk
refrigerated 30% fat thick cream,1,milk
coconut milk,1,milk
chaource cheese,1,milk
coffee cream,1,milk
82% fat unsalted butter,1,milk
cotija cheese,1,milk
whey permeate powder,1,milk
solid yogurt made from pasteurized milk with 3.2% milk fat,1,milk
skimmed milk yogurt powder,1,milk
milk flavouring,1,milk
cheese rind,1,milk
cream with 10% milk fat,1,milk
blue cheese,1,milk
milk protein isolate,1,milk
lactose,1,milk
condensed whole milk,1,milk
clarified butter,1,milk
melted powdered cheese,1,milk
crottin cheese,1,milk
sweet whey powder,1,milk
sodium caseinate,1,milk
maasdam-type firm cheese with around 27% fat,1,milk
cream sauce,1,milk
rice cream,1,milk
lightly salted butter,1,milk
churned butter,1,milk
pasteurized semi-skimmed milk,1,milk
semi-hard cheeses,1,milk
natural cheese flavouring,1,milk
cocoa mass and cocoa butter,1,milk
uht sterilised skimmed milk,1,milk
light cream,1,milk
sweetened condensed whole milk,1,milk
follow-on milk,1,milk
pasteurized butter,1,milk
saffron milk cap,1,milk
melted emmental cheese,1,milk
low fat cheese,1,milk
milk coating,1,milk
organic cocoa mass and organic cocoa butter,1,milk
vanilla ice cream,1,milk
whey permeate,1,milk
skimmed sheeps milk,1,milk
shea butter,1,milk
whey,1,milk
whole milk,1,milk
organic milk proteins,1,milk
bloody milk cap,1,milk
milk chocolate,1,milk
reconstituted whey permeate,1,milk
skimmed milk,1,milk
milk spread with coconut flavor,1,milk
ice cream,1,milk
crunchy peanut butter,1,milk
cream cheese,1,milk
grated emmental cheese,1,milk
