additive_id,name,note
212,Absinth extract,A substance composed mainly of sesquiterpenes obtained from the whole absinth grass.
10,α-Acetolactate decarboxylase,-
135,Acid clay,-
136,Acid phosphatase,-
3,Actinidine,-
54,Activated acid clay,-
53,Active carbon,A substance obtained by carbonizing and activating carbon-containing substances.
5,Acylase,-
11,5'-Adenylic acid,-
2,Agarase,-
4,Agrobacterium succinoglycan,A substance composed mainly of succinoglycan obtained from the cultured solution of bacteria belonging to Agrobacterium.
15,α-Amylase,-
16,β-Amylase,-
23,Alginate lyase,-
22,Alginic acid,-
24,Aluminium,-
178,Amino acid-sugar reaction product,A substance obtained by heating the mixture of amino acids and monosaccharides.
14,Aminopeptidase,-
12,Annatto extract,A substance composed mainly of norbixin and bixin obtained from the seed coats of annatto.
25,Anthocyanase,-
19,Arabino galactan,-
134,Artemisia sphaerocephala seed gum,A substance composed mainly of polysaccharides obtained from the seed coats of SABAKU-YOMOGI (Artemisia sphaerocephala KRASCH).
6,Ascorbate oxidase,-
9,Aspergillus terreus glycoprotein,A substance composed mainly of glycoprotein obtained from the cultured solution of mould belonging to Aspergillus terreus.
1,Aureobasidium cultured solution,A substance composed mainly of beta-1,3-1,6-glucan obtained from the cultured solution of yeast belonging to Aureobasidium.
208,Bacillus natto gum,A substance composed mainly of polyglutamic acid obtained from the cultured solution of bacteria belonging to Bacillus natto.
286,Bees wax,A substance composed mainly of myricyl palmitate obtained from honeycomb.
228,Beet red,A substance composed mainly of betanin and isobetanin obtained from beet roots.
272,Bentonite,-
260,Betaine,-
126,Bone charcoal,A substance composed mainly of carbon powder and calcium phosphate obtained from bovine bones.
243,Brazilian licorice extract,A substance composed mainly of peliandorin obtained from Brazilian licorice roots.
249,Bromelain,-
239,Butane,-
48,Cacao colour,A substance composed mainly of polymers of anthocyanins obtained from cacao beans.
58,Caffeine (extract),A substance composed mainly of caffeine obtained from coffee beans or tea leaves.
150,Calcinated calcium,"A substance composed mainly of calcium compounds obtained by calcinating sea urchin shells, shells, coral, whey, bones or eggshells."
75,Candelilla wax,A substance composed mainly of hentriacontane obtained from candelilla stems.
133,Cane wax,A substance composed mainly of myricyl palmitate obtained from cane stems.
194,Capsicum water-soluble extract,A substance composed mainly of water-soluble substances obtained by extraction from capsicum fruits.
63,Caramel I (plain),"A substance obtained by heat-treating food-grade carbohydrates including starch hydrolysates, molasses or saccharides, excluding Caramel II, Caramel III and Caramel IV."
64,Caramel II (caustic sulfite process),"A substance obtained by adding sulfite compounds to, and heat-treating, food-grade carbohydrates including starch-hydrolysates, molasses or saccharides, excluding Caramel IV."
65,Caramel III (ammonia process),"A substance obtained by adding ammonium compounds to, and heat-treating, food-grade carbohydrates including starch-hydrolysates, molasses or saccharides, excluding Caramel IV."
66,Caramel IV (sulfite ammonia process),"A substance obtained by adding sulfite compounds and ammonium compounds to, and heat-treating, food-grade carbohydrates including starch-hydrolysates, molasses or saccharides."
69,Carboxypeptidase,-
68,Carnauba wax,A substance composed mainly of ceryl hydroxycerotate obtained from the leaves of carnauba trees.
71,Carob bean gum,"A substance obtained by grinding, or dissolving and precipitating the seed albumens of locust beans."
70,Carob germ colour,A substance obtained by grinding the seed germs of locust beans.
59,Carrageenan,"A substance composed mainly of ι-carrageenan, κ-carrageenan and λ-carrageenan obtained from the whole algae of IBARA-NORI (Hypneaceae hypnea), KIRINSAI (Solieriacea eucheuma), GINNANSOU (Gingartinaceae iridaea), SUGI-NORI (Gingartinaceae gigartina), or TSUNOMATA (Gingartinaceae chondrus)."
214,Carrot carotene,A substance composed mainly of carotene obtained from carrot roots.
263,Carthamus red,A substance composed mainly of carthamin obtained from safflower flowers.
264,Carthamus yellow,A substance composed mainly of safflor yellow obtained from safflower flowers.
51,Cassia gum,A substance composed mainly of polysaccharides obtained by grinding the seeds of EBISU-GUSA-MODOKI (Cassia tora LINN.).
52,Catalase,-
56,Catechin,-
167,Cellulase,-
298,Charcoal,A substance obtained by carbonizing bamboo or wood.
181,Chicle,A substance composed mainly of amyrin acetate and polyisoprenes obtained from the secretion of sapodilla trees.
303,Chinese bayberry extract,"A substance obtained by extraction from the fruits, bark, or leaves of Chinese bayberry."
80,Chitin,-
79,Chitinase,-
82,Chitosan,-
81,Chitosanase,-
109,Chlorophyll,-
108,Chlorophylline,-
195,Cholesterol,A substance composed mainly of cholesterol obtained from fish oil or lanolin.
107,Clove extract,"A substance composed mainly of eugenol obtained from the buds, leaves or flowers of clove."
125,Cochineal extract,A substance composed mainly of carminic acid obtained from cochineal insects.
209,Coffee bean extract,A substance composed mainly of chlorogenic acid and polyphenols obtained from coffee beans.
192,Copper,-
94,Cristobalite,-
169,Crude magnesium chloride (sea water),A substance composed mainly of magnesium chloride obtained by separating potassium chloride and sodium chloride from sea water.
168,Crude potassium chloride (sea water),A substance composed mainly of potassium chloride obtained by separating sodium chloride from sea water.
57,Curdlan,A substance composed mainly of β-1,3-glucans obtained from the cultured solution of bacteria belonging to Agrobacterium or Alcaligenes.
138,Cyanocobalamin,-
143,Cyclodextrin,-
144,Cyclodextrin glucanotransferase,-
147,5'-Cytidylic acid,-
187,5'-Deaminase,-
189,Dextran,-
188,Dextranase,-
111,Diatomaceous earth,-
317,D-Ribose,-
191,Dunaliella carotene,A substance composed mainly of b-carotene obtained from the whole alga of dunaliella.
78,D-Xylose,-
39,Elemi resin,A substance composed mainly of β-amyrin obtained from the secretion of elemi trees.
121,Enzymatically decomposed apple extract,A substance composed mainly of catechins and chlorogenic acid obtained by enzymatically decomposing apple fruits.
122,Enzymatically decomposed lecithin,A substance composed mainly of phosphatidic acid and lysolecithin obtained from vegetable lecithin or yolk lecithin.
